series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
CTRGSP,CTRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Connecticut,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:15-05:00,3,
WARGSP,WARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Washington,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:04-05:00,2,
WVRGSP,WVRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in West Virginia,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:06-05:00,2,
ARRGSP,ARRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Arkansas,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:12-05:00,2,
NVRGSP,NVRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Nevada,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:13-05:00,2,
MERGSP,MERGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Maine,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:14-05:00,2,
SDRGSP,SDRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in South Dakota,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:13-05:00,2,
DCRGSP,DCRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in the District of Columbia,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:15-05:00,2,
RIRGSP,RIRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Rhode Island,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:07-05:00,2,
INRGSP,INRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Indiana,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:10-05:00,2,
USRGSP,USRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in the United States,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:06-05:00,2,
NHRGSP,NHRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in New Hampshire,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:08-05:00,2,
